                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.08562,                0.70855,                      1,                0.29544,               0.070042,              0.0033287,              0.0033287
                      1,                0.06897,                0.90456,                      1,                0.21137,               0.039877,              0.0064972,              0.0064972
                      2,                0.06197,                0.90842,                      1,                 0.2114,              0.0095469,              0.0095006,              0.0095006
                      3,                0.05867,                0.93156,                      1,                0.20228,              0.0092575,              0.0092575,              0.0092575
                      4,                0.05227,                0.93348,                      1,                0.19214,              0.0092575,              0.0092575,              0.0092575
                      5,                0.04613,                0.93959,                      1,                 0.1903,                0.00901,                0.00901,                0.00901
                      6,                0.04147,                0.93798,                      1,                0.18864,              0.0087625,              0.0087625,              0.0087625
                      7,                0.03628,                0.94344,                      1,                0.18525,               0.008515,               0.008515,               0.008515
                      8,                0.03172,                0.93156,                      1,                0.19196,              0.0082675,              0.0082675,              0.0082675
                      9,                0.02551,                0.93541,                      1,                0.18933,                0.00802,                0.00802,                0.00802
                     10,                0.02064,                0.94184,                      1,                0.18556,              0.0077725,              0.0077725,              0.0077725
                     11,                0.01555,                0.94023,                      1,                0.18404,               0.007525,               0.007525,               0.007525
                     12,                0.01443,                0.94216,                      1,                0.18477,              0.0072775,              0.0072775,              0.0072775
                     13,                0.01059,                0.93862,                      1,                0.18518,                0.00703,                0.00703,                0.00703
                     14,                0.00726,                0.93413,                      1,                0.18607,              0.0067825,              0.0067825,              0.0067825
                     15,                0.00405,                0.94023,                      1,                 0.1839,               0.006535,               0.006535,               0.006535
                     16,                0.00572,                0.94441,                      1,                0.18199,              0.0062875,              0.0062875,              0.0062875
                     17,                0.00491,                0.93509,                      1,                0.18655,                0.00604,                0.00604,                0.00604
                     18,                0.00274,                 0.9367,                      1,                0.18508,              0.0057925,              0.0057925,              0.0057925
                     19,                0.00246,                0.94794,                      1,                0.18036,               0.005545,               0.005545,               0.005545
                     20,                 0.0011,                0.94923,                      1,                 0.1808,              0.0052975,              0.0052975,              0.0052975
                     21,                0.00116,                0.94505,                      1,                0.18205,                0.00505,                0.00505,                0.00505
                     22,                0.00163,                0.94826,                      1,                0.18098,              0.0048025,              0.0048025,              0.0048025
                     23,                0.00089,                0.94087,                      1,                0.18334,               0.004555,               0.004555,               0.004555
                     24,                0.00059,                0.94409,                      1,                0.18217,              0.0043075,              0.0043075,              0.0043075
                     25,                0.00025,                0.94634,                      1,                0.18179,                0.00406,                0.00406,                0.00406
                     26,                0.00029,                0.94409,                      1,                0.18258,              0.0038125,              0.0038125,              0.0038125
                     27,                0.00023,                0.94312,                      1,                0.18228,               0.003565,               0.003565,               0.003565
                     28,                0.00031,                0.94505,                      1,                 0.1821,              0.0033175,              0.0033175,              0.0033175
                     29,                0.00014,                0.95051,                      1,                0.18016,                0.00307,                0.00307,                0.00307
                     30,                0.00013,                0.94891,                      1,                0.18022,              0.0028225,              0.0028225,              0.0028225
                     31,                  5e-05,                0.94891,                      1,                0.18053,               0.002575,               0.002575,               0.002575
                     32,                  6e-05,                0.94762,                      1,                 0.1801,              0.0023275,              0.0023275,              0.0023275
                     33,                  7e-05,                0.94955,                      1,                0.17972,                0.00208,                0.00208,                0.00208
                     34,                  3e-05,                0.94859,                      1,                0.17972,              0.0018325,              0.0018325,              0.0018325
                     35,                  3e-05,                0.94923,                      1,                0.17999,               0.001585,               0.001585,               0.001585
                     36,                  3e-05,                0.94859,                      1,                0.17995,              0.0013375,              0.0013375,              0.0013375
                     37,                  6e-05,                 0.9473,                      1,                0.18008,                0.00109,                0.00109,                0.00109
                     38,                  3e-05,                0.94859,                      1,                0.17997,              0.0008425,              0.0008425,              0.0008425
                     39,                  2e-05,                0.94859,                      1,                0.17991,               0.000595,               0.000595,               0.000595
