                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.10459,                0.87077,                      1,                0.22834,               0.070037,              0.0033292,              0.0033292
                      1,                0.07653,                0.88154,                      1,                0.21506,               0.039817,              0.0064427,              0.0064427
                      2,                0.06971,                0.90808,                      1,                0.20764,              0.0093772,              0.0093362,              0.0093362
                      3,                0.06155,                0.91385,                      1,                 0.2044,                0.00901,                0.00901,                0.00901
                      4,                0.05131,                0.90846,                      1,                0.20054,                0.00901,                0.00901,                0.00901
                      5,                0.04708,                0.91615,                      1,                0.19899,                0.00868,                0.00868,                0.00868
                      6,                0.03749,                0.91538,                      1,                 0.1986,                0.00835,                0.00835,                0.00835
                      7,                0.03256,                0.90808,                      1,                0.20134,                0.00802,                0.00802,                0.00802
                      8,                0.02527,                0.91462,                      1,                0.19922,                0.00769,                0.00769,                0.00769
                      9,                0.01911,                0.91462,                      1,                0.19815,                0.00736,                0.00736,                0.00736
                     10,                 0.0154,                0.91654,                      1,                 0.1946,                0.00703,                0.00703,                0.00703
                     11,                0.01176,                  0.915,                      1,                0.19775,                 0.0067,                 0.0067,                 0.0067
                     12,                0.00847,                0.91308,                      1,                 0.1974,                0.00637,                0.00637,                0.00637
                     13,                0.00717,                0.91692,                      1,                0.19592,                0.00604,                0.00604,                0.00604
                     14,                 0.0053,                0.90808,                      1,                0.19866,                0.00571,                0.00571,                0.00571
                     15,                0.00251,                0.92231,                      1,                0.19296,                0.00538,                0.00538,                0.00538
                     16,                0.00149,                0.91192,                      1,                0.19638,                0.00505,                0.00505,                0.00505
                     17,                0.00173,                0.91038,                      1,                0.19619,                0.00472,                0.00472,                0.00472
                     18,                0.00185,                0.91538,                      1,                0.19549,                0.00439,                0.00439,                0.00439
                     19,                 0.0006,                0.91423,                      1,                0.19555,                0.00406,                0.00406,                0.00406
                     20,                0.00085,                0.91808,                      1,                0.19488,                0.00373,                0.00373,                0.00373
                     21,                0.00032,                0.91346,                      1,                0.19625,                 0.0034,                 0.0034,                 0.0034
                     22,                 0.0003,                0.91385,                      1,                 0.1956,                0.00307,                0.00307,                0.00307
                     23,                0.00015,                0.91462,                      1,                0.19565,                0.00274,                0.00274,                0.00274
                     24,                0.00011,                0.91538,                      1,                0.19541,                0.00241,                0.00241,                0.00241
                     25,                  6e-05,                0.91462,                      1,                0.19536,                0.00208,                0.00208,                0.00208
                     26,                 0.0001,                0.91654,                      1,                0.19478,                0.00175,                0.00175,                0.00175
                     27,                  6e-05,                0.91538,                      1,                0.19468,                0.00142,                0.00142,                0.00142
                     28,                  4e-05,                0.91615,                      1,                0.19478,                0.00109,                0.00109,                0.00109
                     29,                  9e-05,                0.91692,                      1,                0.19478,                0.00076,                0.00076,                0.00076
