                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.16903,                    0.5,                      1,                0.34659,                 0.0937,                 0.0007,                 0.0007
                      1,                0.16354,                    0.5,                      1,                0.34678,                0.08645,              0.0014505,              0.0014505
                      2,                0.15557,                    0.5,                      1,                0.34751,               0.079148,              0.0021482,              0.0021482
                      3,                0.14836,                    0.5,                      1,                 0.3492,               0.071793,              0.0027931,              0.0027931
                      4,                0.15078,                    0.5,                      1,                  0.351,               0.064385,              0.0033852,              0.0033852
                      5,                0.15226,                    0.5,                      1,                0.35218,               0.056925,              0.0039245,              0.0039245
                      6,                0.14372,                    0.5,                      1,                0.35273,               0.049411,               0.004411,               0.004411
                      7,                0.14631,                0.53125,                      1,                0.35045,               0.041845,              0.0048447,              0.0048447
                      8,                0.13417,                    0.5,                      1,                0.34931,               0.034226,              0.0052256,              0.0052256
                      9,                0.13167,                    0.5,                      1,                 0.3491,               0.026554,              0.0055537,              0.0055537
                     10,                0.12357,                    0.5,                      1,                0.34736,               0.018829,               0.005829,               0.005829
                     11,                  0.121,                0.53125,                      1,                0.34616,               0.011052,              0.0060515,              0.0060515
                     12,                0.11261,                    0.5,                      1,                0.34786,                0.00604,                0.00604,                0.00604
                     13,                0.10106,                    0.5,                      1,                0.34432,                0.00604,                0.00604,                0.00604
                     14,                  0.127,                0.59375,                      1,                0.33676,                0.00571,                0.00571,                0.00571
                     15,                0.08293,                0.65625,                      1,                0.32172,                0.00538,                0.00538,                0.00538
                     16,                0.07682,                 0.6875,                      1,                0.31395,                0.00505,                0.00505,                0.00505
                     17,                0.07135,                 0.6875,                      1,                0.30558,                0.00472,                0.00472,                0.00472
                     18,                0.06353,                   0.75,                      1,                0.30546,                0.00439,                0.00439,                0.00439
                     19,                0.05719,                  0.625,                      1,                0.32512,                0.00406,                0.00406,                0.00406
                     20,                0.04879,                0.59375,                      1,                 0.3279,                0.00373,                0.00373,                0.00373
                     21,                0.04241,                0.65625,                      1,                0.30465,                 0.0034,                 0.0034,                 0.0034
                     22,                0.03428,                  0.625,                      1,                0.30416,                0.00307,                0.00307,                0.00307
                     23,                0.02915,                  0.625,                      1,                0.30039,                0.00274,                0.00274,                0.00274
                     24,                0.03758,                0.65625,                      1,                0.30613,                0.00241,                0.00241,                0.00241
                     25,                0.02558,                0.65625,                      1,                 0.3125,                0.00208,                0.00208,                0.00208
                     26,                0.02924,                0.65625,                      1,                0.30642,                0.00175,                0.00175,                0.00175
                     27,                0.01775,                  0.625,                      1,                 0.3084,                0.00142,                0.00142,                0.00142
                     28,                 0.0212,                  0.625,                      1,                0.31642,                0.00109,                0.00109,                0.00109
                     29,                0.02257,                0.59375,                      1,                 0.3269,                0.00076,                0.00076,                0.00076
