                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.48565,                0.19286,                0.72857,                 0.8509,                0.07037,              0.0032922,              0.0032922
                      1,                0.48225,                0.19286,                0.79286,                 0.8467,               0.040334,              0.0065891,              0.0065891
                      2,                0.46424,                0.27857,                0.84286,                0.82267,               0.010261,              0.0098493,              0.0098493
                      3,                0.42441,                   0.35,                0.92143,                0.80308,               0.009835,               0.009835,               0.009835
                      4,                0.37387,                0.28571,                0.82857,                0.80543,               0.009835,               0.009835,               0.009835
                      5,                0.33837,                0.42143,                0.93571,                0.76594,                0.00978,                0.00978,                0.00978
                      6,                0.29693,                0.47143,                0.93571,                0.75101,               0.009725,               0.009725,               0.009725
                      7,                0.24611,                0.57143,                0.95714,                0.70859,                0.00967,                0.00967,                0.00967
                      8,                0.18105,                0.40714,                0.93571,                0.75349,               0.009615,               0.009615,               0.009615
                      9,                0.13996,                0.62857,                0.92143,                0.68634,                0.00956,                0.00956,                0.00956
                     10,                 0.1036,                0.56429,                   0.95,                0.70462,               0.009505,               0.009505,               0.009505
                     11,                0.09075,                0.60714,                0.94286,                0.68657,                0.00945,                0.00945,                0.00945
                     12,                0.08255,                0.57143,                0.92857,                0.68477,               0.009395,               0.009395,               0.009395
                     13,                 0.0555,                0.57143,                0.96429,                0.69364,                0.00934,                0.00934,                0.00934
                     14,                0.04421,                0.62143,                0.94286,                0.67994,               0.009285,               0.009285,               0.009285
                     15,                0.03324,                0.60714,                0.93571,                0.68306,                0.00923,                0.00923,                0.00923
                     16,                0.02783,                0.59286,                0.94286,                0.68558,               0.009175,               0.009175,               0.009175
                     17,                0.02702,                0.60714,                0.92857,                0.68012,                0.00912,                0.00912,                0.00912
                     18,                0.02008,                0.60714,                0.93571,                0.67915,               0.009065,               0.009065,               0.009065
                     19,                0.02131,                0.57857,                0.89286,                0.69944,                0.00901,                0.00901,                0.00901
                     20,                0.01943,                0.59286,                0.91429,                0.68175,               0.008955,               0.008955,               0.008955
                     21,                0.01564,                0.58571,                0.92143,                0.68316,                 0.0089,                 0.0089,                 0.0089
                     22,                0.01413,                0.57857,                   0.95,                0.68496,               0.008845,               0.008845,               0.008845
                     23,                 0.0117,                0.57143,                0.93571,                0.69082,                0.00879,                0.00879,                0.00879
                     24,                0.00859,                0.62857,                0.93571,                0.67173,               0.008735,               0.008735,               0.008735
                     25,                0.00931,                0.62143,                0.96429,                0.67295,                0.00868,                0.00868,                0.00868
                     26,                0.00892,                0.60714,                   0.95,                0.68032,               0.008625,               0.008625,               0.008625
                     27,                0.00779,                    0.6,                0.94286,                0.68032,                0.00857,                0.00857,                0.00857
                     28,                0.00596,                   0.65,                0.91429,                 0.6641,               0.008515,               0.008515,               0.008515
                     29,                0.00362,                0.64286,                   0.95,                0.66585,                0.00846,                0.00846,                0.00846
                     30,                 0.0031,                   0.65,                0.93571,                0.66282,               0.008405,               0.008405,               0.008405
                     31,                0.00306,                0.62143,                0.93571,                0.66244,                0.00835,                0.00835,                0.00835
                     32,                0.00113,                0.63571,                0.96429,                0.66559,               0.008295,               0.008295,               0.008295
                     33,                0.00211,                0.62857,                0.92857,                0.66417,                0.00824,                0.00824,                0.00824
                     34,                0.00106,                   0.65,                0.93571,                0.66363,               0.008185,               0.008185,               0.008185
                     35,                0.00101,                0.62857,                0.96429,                0.66706,                0.00813,                0.00813,                0.00813
                     36,                 0.0016,                0.65714,                0.94286,                0.66359,               0.008075,               0.008075,               0.008075
                     37,                0.00161,                   0.65,                0.92857,                0.65978,                0.00802,                0.00802,                0.00802
                     38,                0.00099,                0.65714,                0.94286,                0.65988,               0.007965,               0.007965,               0.007965
                     39,                0.00087,                0.65714,                0.92857,                0.65501,                0.00791,                0.00791,                0.00791
                     40,                0.00037,                0.66429,                0.92857,                0.65381,               0.007855,               0.007855,               0.007855
                     41,                0.00036,                0.67143,                0.92857,                0.65291,                 0.0078,                 0.0078,                 0.0078
                     42,                0.00029,                0.66429,                0.93571,                0.65278,               0.007745,               0.007745,               0.007745
                     43,                0.00028,                0.66429,                0.92857,                0.65466,                0.00769,                0.00769,                0.00769
                     44,                0.00037,                0.67857,                0.92857,                0.65321,               0.007635,               0.007635,               0.007635
                     45,                0.00025,                0.67857,                0.92857,                0.65498,                0.00758,                0.00758,                0.00758
                     46,                0.00024,                0.67857,                0.92857,                0.65353,               0.007525,               0.007525,               0.007525
                     47,                0.00041,                0.67857,                0.92857,                0.65329,                0.00747,                0.00747,                0.00747
                     48,                0.00011,                0.67143,                0.92857,                 0.6512,               0.007415,               0.007415,               0.007415
                     49,                0.00036,                0.67143,                0.93571,                0.65482,                0.00736,                0.00736,                0.00736
                     50,                0.00017,                0.68571,                0.94286,                0.65412,               0.007305,               0.007305,               0.007305
                     51,                  9e-05,                0.67143,                0.94286,                0.65366,                0.00725,                0.00725,                0.00725
                     52,                 0.0002,                0.67143,                   0.95,                0.65522,               0.007195,               0.007195,               0.007195
                     53,                 0.0002,                0.68571,                   0.95,                0.65366,                0.00714,                0.00714,                0.00714
                     54,                0.00012,                0.68571,                0.94286,                0.65399,               0.007085,               0.007085,               0.007085
                     55,                0.00037,                0.64286,                0.92143,                0.65761,                0.00703,                0.00703,                0.00703
                     56,                0.00022,                0.67857,                0.94286,                0.65589,               0.006975,               0.006975,               0.006975
                     57,                0.00014,                0.67857,                0.92857,                0.65481,                0.00692,                0.00692,                0.00692
                     58,                 0.0001,                0.64286,                0.93571,                0.65774,               0.006865,               0.006865,               0.006865
                     59,                0.00019,                0.66429,                0.92857,                0.65529,                0.00681,                0.00681,                0.00681
                     60,                0.00017,                0.67143,                0.94286,                0.65395,               0.006755,               0.006755,               0.006755
                     61,                  9e-05,                   0.65,                0.92857,                 0.6588,                 0.0067,                 0.0067,                 0.0067
                     62,                0.00021,                0.65714,                0.92143,                0.65957,               0.006645,               0.006645,               0.006645
                     63,                  9e-05,                0.65714,                0.92857,                0.65747,                0.00659,                0.00659,                0.00659
                     64,                  7e-05,                0.67857,                0.92143,                0.65395,               0.006535,               0.006535,               0.006535
