                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.00011,                0.67143,                0.92143,                0.65257,                0.00648,                0.00648,                0.00648
                     66,                 0.0001,                0.66429,                0.92857,                0.65713,               0.006425,               0.006425,               0.006425
                     67,                0.00016,                0.67143,                0.92143,                0.65252,                0.00637,                0.00637,                0.00637
                     68,                  9e-05,                0.67857,                0.92857,                0.65289,               0.006315,               0.006315,               0.006315
                     69,                0.00025,                0.66429,                0.92143,                0.65258,                0.00626,                0.00626,                0.00626
                     70,                  6e-05,                0.66429,                0.92857,                  0.653,               0.006205,               0.006205,               0.006205
                     71,                  7e-05,                0.66429,                0.94286,                0.65075,                0.00615,                0.00615,                0.00615
                     72,                  9e-05,                0.67857,                0.93571,                0.65121,               0.006095,               0.006095,               0.006095
                     73,                 0.0001,                0.68571,                0.94286,                0.65221,                0.00604,                0.00604,                0.00604
                     74,                 0.0001,                0.68571,                0.92857,                0.65081,               0.005985,               0.005985,               0.005985
                     75,                0.00014,                0.67143,                0.93571,                 0.6522,                0.00593,                0.00593,                0.00593
                     76,                0.00012,                0.67857,                0.92857,                0.65323,               0.005875,               0.005875,               0.005875
                     77,                0.00021,                0.65714,                0.93571,                0.65513,                0.00582,                0.00582,                0.00582
                     78,                0.00012,                0.65714,                0.94286,                0.65568,               0.005765,               0.005765,               0.005765
                     79,                0.00013,                0.67857,                0.94286,                0.65099,                0.00571,                0.00571,                0.00571
                     80,                  6e-05,                0.67857,                0.93571,                0.65324,               0.005655,               0.005655,               0.005655
                     81,                0.00016,                0.68571,                   0.95,                0.65055,                 0.0056,                 0.0056,                 0.0056
                     82,                0.00017,                0.66429,                0.92143,                0.65093,               0.005545,               0.005545,               0.005545
                     83,                  9e-05,                0.67143,                0.93571,                0.65449,                0.00549,                0.00549,                0.00549
                     84,                 0.0001,                0.68571,                0.92857,                0.65482,               0.005435,               0.005435,               0.005435
                     85,                0.00012,                0.67143,                0.92143,                0.65788,                0.00538,                0.00538,                0.00538
