                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.12228,                0.80737,                      1,                0.25164,               0.070029,              0.0033302,              0.0033302
                      1,                0.08764,                0.87986,                      1,                0.22489,               0.039864,              0.0064986,              0.0064986
                      2,                0.07674,                0.89009,                      1,                0.21437,              0.0095337,               0.009502,               0.009502
                      3,                  0.068,                0.90909,                      1,                0.20746,              0.0092575,              0.0092575,              0.0092575
                      4,                0.05871,                0.90354,                      1,                0.21446,              0.0092575,              0.0092575,              0.0092575
                      5,                0.05205,                0.89974,                      1,                0.20696,                0.00901,                0.00901,                0.00901
                      6,                0.04632,                0.90675,                      1,                0.20479,              0.0087625,              0.0087625,              0.0087625
                      7,                0.03966,                0.91289,                      1,                 0.2035,               0.008515,               0.008515,               0.008515
                      8,                0.03308,                0.90441,                      1,                0.20447,              0.0082675,              0.0082675,              0.0082675
                      9,                0.02928,                0.90704,                      1,                0.20373,                0.00802,                0.00802,                0.00802
                     10,                0.02287,                0.90821,                      1,                0.20201,              0.0077725,              0.0077725,              0.0077725
                     11,                0.01667,                0.89564,                      1,                0.20624,               0.007525,               0.007525,               0.007525
                     12,                0.01323,                0.90354,                      1,                 0.2031,              0.0072775,              0.0072775,              0.0072775
                     13,                0.01287,                0.90646,                      1,                0.20215,                0.00703,                0.00703,                0.00703
                     14,                0.00967,                0.90324,                      1,                0.20226,              0.0067825,              0.0067825,              0.0067825
                     15,                 0.0081,                0.90412,                      1,                0.20351,               0.006535,               0.006535,               0.006535
                     16,                0.00442,                0.91318,                      1,                0.19818,              0.0062875,              0.0062875,              0.0062875
                     17,                0.00728,                0.91084,                      1,                0.20147,                0.00604,                0.00604,                0.00604
                     18,                0.00438,                0.90266,                      1,                0.20279,              0.0057925,              0.0057925,              0.0057925
                     19,                 0.0037,                0.91318,                      1,                0.19972,               0.005545,               0.005545,               0.005545
                     20,                0.00317,                 0.9164,                      1,                0.19761,              0.0052975,              0.0052975,              0.0052975
                     21,                0.00188,                0.90909,                      1,                0.20107,                0.00505,                0.00505,                0.00505
                     22,                0.00074,                0.91231,                      1,                0.19861,              0.0048025,              0.0048025,              0.0048025
                     23,                0.00039,                0.91231,                      1,                0.19825,               0.004555,               0.004555,               0.004555
                     24,                0.00012,                0.91786,                      1,                 0.1965,              0.0043075,              0.0043075,              0.0043075
                     25,                0.00018,                0.91874,                      1,                 0.1959,                0.00406,                0.00406,                0.00406
                     26,                0.00027,                0.91143,                      1,                0.19955,              0.0038125,              0.0038125,              0.0038125
                     27,                0.00028,                0.91231,                      1,                0.19821,               0.003565,               0.003565,               0.003565
                     28,                0.00011,                0.91318,                      1,                 0.1974,              0.0033175,              0.0033175,              0.0033175
                     29,                  3e-05,                0.91377,                      1,                0.19767,                0.00307,                0.00307,                0.00307
                     30,                  3e-05,                 0.9126,                      1,                0.19763,              0.0028225,              0.0028225,              0.0028225
                     31,                0.00096,                0.90997,                      1,                0.20011,               0.002575,               0.002575,               0.002575
                     32,                0.00014,                0.91231,                      1,                0.19882,              0.0023275,              0.0023275,              0.0023275
                     33,                  5e-05,                0.91435,                      1,                0.19796,                0.00208,                0.00208,                0.00208
                     34,                0.00012,                0.91786,                      1,                0.19703,              0.0018325,              0.0018325,              0.0018325
                     35,                  7e-05,                0.91611,                      1,                0.19701,               0.001585,               0.001585,               0.001585
                     36,                 0.0002,                0.91172,                      1,                 0.1985,              0.0013375,              0.0013375,              0.0013375
                     37,                  6e-05,                0.91114,                      1,                0.19864,                0.00109,                0.00109,                0.00109
                     38,                  6e-05,                0.91172,                      1,                0.19856,              0.0008425,              0.0008425,              0.0008425
                     39,                  4e-05,                0.91172,                      1,                0.19851,               0.000595,               0.000595,               0.000595
